序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,开车的朋友们学习一下吧,是,#汽车保养#【“喝”得太饱损车又耗油】出行时，大多数人会担心找不到加油站，所以一到加油站就把油箱“加满”。如果加油比较方便，无须一次加满。因为这样会增加车辆重量， 油耗也会随之增加。特别是新车，更不宜一次加油加满，这种做法可能有损油浮及传感器，导致油表失真哦。[同意] ​​​​,2012-09-05 14:18,转发,评论,赞,微博 weibo.com,https://weibo.com/2661340465/yAsJSfeie
1,成人高考开始网报了//@海淀区政府网站: 【周三成人高考开始网报】,是,【周三成人高考开始网报】#生活提示#本周三（22日）成人高考开始网上报名了。普通考生网上报名截止为8月29日。8月30日、31日只接受免试生报名。今年考生可就近选择确认点，成招录取批次也由以往的三批次录取改为两批次录取。网上报名、交费说明请见 O网页链接 ​​​​,2012-08-21 09:55,转发,评论,赞,微博 weibo.com,https://weibo.com/2661340465/yy9BIkB9g
2,"出行的朋友们,请选择好出行路线!",是,#出行提示# 明日起，G6（京藏高速）西侧辅路24.5公里处至32.8公里处进行路面病害处理施工。预计9月15日施工完毕。施工期间给您出行带来的不便，请多谅解。 ​​​​,2012-08-14 16:36,转发,评论,赞,微博 weibo.com,https://weibo.com/2661340465/yx8eXCDHN
3,今天组织本社区的中小学生，举办“小小油画家”数字油画活动，20余名同学及家长参加活动。在同学们的勾勒中，一幅幅精美的油画展现眼前。同时我们还穿插着进行脑筋急转弯的游戏，同学们充分展现了他们的想象力，个个争先。通过活动，即锻炼了动手能力，又增加了他们之间的相互了解，使暑期生活更加充实 ​​​​,否,,2012-08-14 16:12,转发,2,赞,微博 weibo.com,https://weibo.com/2661340465/yx85qEDDB
4,真情！,是,"#温情交通#【男子突发病，的哥急救助】近日,市民张先生骑车到魏公村附近时,心脏病突发。路过此处的新月联合出租汽车公司“的哥”马占东师傅看到后立即停车进行救助,以最快的速度将其送到医院,并与其爱人谢女士取得了联系。“幸亏马师傅及时送他到医院，再晚点我爱人可能就没救了。”谢女士激动地说。 ​​​​",2012-08-06 10:24,转发,评论,赞,微博 weibo.com,https://weibo.com/2661340465/yvSohFwEC
5,转发//@文明北京:,是,#故事里的事#漆黑的夜晚，瞎子打着灯笼走路。禅师上前问道：“你是盲人，为什么还要打灯笼呢？”盲人答：“夜晚没有灯光，怕互相碰撞，所以打着灯笼。”禅师感叹：“原来你所做的一切是为了别人！”盲人答：“不，为我自己！”——其实，帮助别人就等于帮助自己！ ​​​​,2012-08-02 11:39,转发,评论,赞,微博 weibo.com,https://weibo.com/2661340465/yvhaI8Jeo
6,今天出行的朋友请注意防晒！,是,#小贴士#[阳光]【阳光总在风雨后】连续的雨天放晴了[多云转晴]，久违的阳光出来了。您在享受阳光的同时，也别忘了防晒。紫外线强度高对身体有害，出门时要做好各种防晒准备，最好再带上一把伞，这回是防晒用的伞呦[呵呵]！ ​​​​,2012-08-02 11:37,转发,1,赞,微博 weibo.com,https://weibo.com/2661340465/yvh9O02UD
7,请朋友们注意了，提前安排出行路线！,是,#出行提示#[din看看]【途经西城区的朋友注意了！】自2012年7月26日起，西四部分道路采取交通管制措施：西四北六条全天禁止机动车由西向东方向行驶；西四北七条全天禁止机动车由东向西方向行驶；西四北八条全天禁止机动车由西向东方向行驶。 ​​​​,2012-08-01 16:02,转发,评论,赞,微博 weibo.com,https://weibo.com/2661340465/yv9sL12lS
8,转发！//@文明北京: 您觉得还不错的话就收藏吧！在最美的季节把最美的景色展示给大家[花心],是,【完美的一年国内旅游时间安排表】 一月（哈尔滨、吉林）。二月（海南）。三月（江南）。四月（桂林、黄山、庐山）。五月（滇西北中甸）。六月（张家界）。七月（大连、青岛）。八月（西藏）。九月（新疆）。十月（九寨沟）。十一月（贵州）。十二月（香港） ​​​​,2012-08-01 16:00,转发,评论,赞,微博 weibo.com,https://weibo.com/2661340465/yv9sbfAnw
9,球迷朋友们，希望大家绿色出行!,是,#出行提示# 球迷朋友们：【今天晚上工体有比赛！】19时30分，工人体育场举行足球比赛，入场和散场期间，过往车辆请尽量避开东二环十条桥区和东三环长虹桥区，以及工体北路、工体东路等工体周边道路。[叶子]各位球迷可乘坐地铁2号线，在十条桥站下车后向东步行就可以到达工体。 ​​​​,2012-08-01 16:00,转发,评论,赞,微博 weibo.com,https://weibo.com/2661340465/yv9rVysPd
